lon,lat,bu_ac
-97.145877,41.25188,177.2637
-97.145875,41.251909000000005,174.8788
-97.145875,41.251938,201.9295
-97.145876,41.251968,188.3826
-97.145877,41.251998,177.4361
-97.145877,41.252028,194.1749
-97.145877,41.252057,196.3729
-97.145876,41.252087,202.9014
-97.145876,41.252117,173.9904
-97.145876,41.252146999999994,183.7312
-97.145877,41.252177,176.5745
-97.145877,41.252207,184.6051
-97.14587900000001,41.252237,198.1343
-97.14587900000001,41.252266999999996,200.8237
-97.145881,41.252297,205.9602
-97.145882,41.252327,188.6246
-97.145882,41.252357,190.6867
-97.145883,41.252386,194.7466
-97.145884,41.252417,187.5422
-97.145883,41.252447,211.7007
-97.145883,41.252477,198.5286
-97.145883,41.252507,179.521
-97.145883,41.252536,193.392
-97.145884,41.252565999999995,183.8499
-97.145886,41.252596000000004,182.5627
-97.145887,41.252626,195.9444
-97.145887,41.252656,194.0174
-97.145887,41.252686,188.6659
-97.145887,41.252715,206.0137
-97.145887,41.252745000000004,188.3543
-97.145887,41.252775,190.787
-97.145886,41.252805,196.7453
-97.145886,41.252835,197.7751
-97.145887,41.252865,194.2533
-97.145887,41.252895,190.9232
-97.145888,41.252925,183.8839
-97.145888,41.252953999999995,176.6076
-97.145888,41.252984000000005,177.9445
-97.145888,41.253014,183.7926
-97.145888,41.253044,207.1616
-97.145889,41.253074,175.9582
-97.145889,41.253103,168.7659
-97.145892,41.253133,164.2219
-97.145889,41.253163,173.7156
-97.145888,41.253190999999994,167.2085
-97.145889,41.253221,175.9634
-97.145889,41.25325,178.94799999999998
-97.145889,41.253279,161.5602
-97.145889,41.253309,162.6925
-97.145889,41.253338,176.2837
-97.14589000000001,41.253368,164.574
-97.14589000000001,41.253397,175.5361
-97.14589000000001,41.253426,184.4719
-97.14589000000001,41.253456,168.6363
-97.145891,41.253485999999995,174.8548
-97.145891,41.253515,180.9367
-97.145891,41.253545,183.4702
-97.145891,41.253574,192.7576
-97.145891,41.253603999999996,213.7887
-97.145893,41.253634999999996,190.8618
-97.145893,41.253663,198.9454
-97.145894,41.253694,195.7595
-97.145893,41.253724,184.7644
-97.145893,41.253754,176.0433
-97.145893,41.253783,198.986
-97.145893,41.253813,194.6676
-97.145893,41.253842,191.2688
-97.145893,41.253871999999994,183.9598
-97.145894,41.253901,177.9659
-97.145895,41.253931,196.41299999999998
-97.145896,41.253961,217.6355
-97.145896,41.25399,214.4893
-97.145896,41.254020000000004,202.9174
-97.145896,41.25405,221.3976
-97.145896,41.254079,233.4453
-97.145896,41.254109,224.4589
-97.14589699999999,41.254138,207.2523
-97.145898,41.254168,202.2276
-97.145898,41.254197,203.9539
-97.14589699999999,41.254227,207.5249
-97.145898,41.254257,207.0723
-97.145898,41.254286,220.6739
-97.145899,41.254315999999996,224.1485
-97.145899,41.254346000000005,203.1431
-97.1459,41.254376,203.3088
-97.1459,41.254405,194.2876
-97.145901,41.254434,219.0106
-97.1459,41.254464,196.3752
-97.1459,41.254494,207.9123
-97.145899,41.254523999999996,244.055
-97.145899,41.254554,219.3772
-97.145576,41.254616999999996,187.1459
-97.145577,41.25458,202.2084
-97.145576,41.254545,219.217
-97.145576,41.254509999999996,203.1862
-97.145576,41.254476000000004,205.8838
-97.145577,41.254442,187.5956
-97.145577,41.254406,189.0796
-97.145577,41.254372,192.1367
-97.145575,41.254337,190.5637
-97.145575,41.254303,190.4683
-97.145575,41.254267999999996,199.3028
-97.145575,41.254234000000004,194.9391
-97.145575,41.2542,184.9324
-97.145576,41.254166,186.7147
-97.145574,41.254131,193.4359
-97.145574,41.254096000000004,198.1166
-97.145573,41.254061,197.1927
-97.145572,41.254027,203.8807
-97.14557099999999,41.253993,195.2521
-97.14557099999999,41.253958000000004,201.2898
-97.145572,41.253924,204.2532
-97.145572,41.253889,206.9024
-97.145572,41.253854,193.7771
-97.145572,41.253820000000005,208.1381
-97.145572,41.253786,207.3431
-97.14556999999999,41.253752,191.6507
-97.14556999999999,41.253718,203.9824
-97.145569,41.253684,196.2368
-97.145569,41.253648999999996,200.9827
-97.145569,41.253614,198.3916
-97.14556800000001,41.25358,192.4973
-97.14556800000001,41.253546,192.4371
-97.14556800000001,41.253512,185.5301
-97.14556800000001,41.253478,199.7
-97.145567,41.253443,198.5896
-97.145567,41.253409000000005,168.3281
-97.145567,41.253375,182.4442
-97.145567,41.253341,188.7539
-97.14556800000001,41.253307,171.4294
-97.145562,41.253276,171.2897
-97.145563,41.253240000000005,197.0084
-97.145563,41.253205,168.9872
-97.145562,41.253170000000004,183.9077
-97.145562,41.253134,182.9733
-97.145561,41.253099,193.3588
-97.145562,41.253063,171.1325
-97.145561,41.253028,172.55700000000002
-97.14556,41.252993,171.7411
-97.14556,41.252958,182.0418
-97.14556,41.252922,194.5652
-97.14555899999999,41.252887,190.3381
-97.145558,41.252851,182.6193
-97.145558,41.252815000000005,183.6745
-97.145558,41.25278,183.57
-97.145556,41.252743,177.6316
-97.145553,41.252707,181.7418
-97.145553,41.252673,187.1261
-97.145554,41.252638,193.0453
-97.145552,41.252604,172.5654
-97.145553,41.25257,167.8665
-97.145555,41.252534999999995,169.1959
-97.145554,41.2525,170.3509
-97.145553,41.252466,183.3182
-97.145552,41.25243,179.0527
-97.145552,41.252395,166.8171
-97.14555,41.252359999999996,175.2743
-97.145549,41.252325,189.4905
-97.145551,41.252289000000005,169.9448
-97.14555,41.252254,168.4217
-97.145553,41.252219000000004,158.5044
-97.14555,41.252187,166.1801
-97.145552,41.25215,126.8849
-97.14555,41.252114,137.8554
-97.145549,41.252078000000004,144.1504
-97.14555,41.252043,167.6374
-97.145549,41.252007,174.4802
-97.145549,41.251971999999995,180.30599999999998
-97.14555,41.251937,167.96200000000002
-97.14555,41.251901000000004,163.7534
-97.145549,41.251866,156.9118
-97.145549,41.25183,166.1163
-97.145549,41.251794,147.9041
-97.145549,41.251759,170.3073
-97.145549,41.251723,188.5989
-97.145547,41.251687,186.8682
-97.145548,41.251653999999995,190.7994
-97.145547,41.25162,225.7408
-97.145548,41.251585,204.6597
-97.145547,41.251549,196.0926
-97.145546,41.251514,198.1877
-97.145547,41.251478000000006,217.1476
-97.145546,41.251442,211.7189
-97.145546,41.251405,209.34400000000002
-97.145546,41.25137,210.9223
-97.145546,41.251333,177.0059
-97.145544,41.251296999999994,186.0023
-97.145544,41.251261,189.6485
-97.145544,41.251226,161.65
-97.145545,41.251189000000004,163.4105
-97.145544,41.251153,151.8237
-97.145543,41.251117,152.7757
-97.14554,41.251081,155.9619
-97.14554,41.251047,173.08700000000002
-97.14554,41.251011,170.9714
-97.14554100000001,41.250975,165.229
-97.145542,41.25094,170.541
-97.145542,41.250903,157.9848
-97.145542,41.250867,153.088
-97.145542,41.250831,175.3614
-97.145542,41.250795000000004,173.8105
-97.14554100000001,41.25076,151.613
-97.145534,41.250726,150.8773
-97.145531,41.250692,180.5852
-97.14553199999999,41.250655,171.5067
-97.145533,41.250619,169.8432
-97.14553199999999,41.250583,170.0068
-97.145533,41.250547,154.8376
-97.145533,41.250510999999996,155.624
-97.14553199999999,41.250475,150.7145
-97.14553199999999,41.250439,153.7856
-97.145533,41.250403000000006,160.8143
-97.14553199999999,41.250368,168.8361
-97.145533,41.250331,174.8487
-97.145534,41.250296,173.8047
-97.145538,41.250264,161.3539
-97.145537,41.250228,166.2741
-97.145537,41.250192,210.3689
-97.14553599999999,41.250155,120.0699
